Lap,Temperature,Weather,Track_Surface,Downforce_Setup,Driving_Style,Race_Strategy,Safety_Car,Competitor_Strategy,Laps_Remaining,Tire_Compound
3,44,Sunny,Moderate,Medium,Balanced,One-stop,No,Neutral,67,Hard
51,35,Mixed,Smooth,High,Conservative,Two-stop,No,Undercut,19,Intermediate
40,17,Cloudy,Smooth,Low,Aggressive,Two-stop,No,Undercut,30,Medium
67,43,Mixed,Smooth,Low,Conservative,One-stop,Yes,Undercut,3,Intermediate
19,43,Rainy,Rough,Low,Balanced,One-stop,Yes,Neutral,51,Wet
15,17,Rainy,Rough,High,Balanced,Two-stop,Yes,Overcut,55,Wet
58,39,Cloudy,Moderate,High,Balanced,Three-stop,No,Overcut,12,Soft
42,43,Mixed,Moderate,Low,Aggressive,Three-stop,No,Overcut,28,Intermediate
10,42,Mixed,Smooth,Medium,Conservative,One-stop,Yes,Undercut,60,Intermediate
56,31,Sunny,Rough,Medium,Conservative,Three-stop,Yes,Overcut,14,Soft
33,17,Sunny,Rough,Medium,Balanced,One-stop,Yes,Neutral,37,Medium
26,42,Sunny,Moderate,High,Conservative,Two-stop,No,Undercut,44,Hard
1,24,Cloudy,Moderate,High,Conservative,Three-stop,No,Undercut,69,Medium
37,32,Rainy,Smooth,Low,Balanced,One-stop,No,Overcut,33,Wet
15,43,Sunny,Moderate,Medium,Conservative,One-stop,No,Neutral,55,Hard
50,37,Sunny,Moderate,High,Balanced,Two-stop,No,Overcut,20,Hard
19,12,Sunny,Rough,Low,Balanced,Two-stop,Yes,Undercut,51,Medium
30,44,Cloudy,Rough,Low,Balanced,One-stop,Yes,Undercut,40,Hard
35,43,Mixed,Smooth,High,Conservative,Three-stop,Yes,Undercut,35,Intermediate
47,10,Mixed,Smooth,High,Balanced,One-stop,Yes,Undercut,23,Intermediate
5,31,Cloudy,Smooth,Medium,Aggressive,Two-stop,No,Undercut,65,Medium
55,38,Mixed,Moderate,Medium,Aggressive,Three-stop,No,Overcut,15,Intermediate
40,31,Rainy,Rough,High,Aggressive,One-stop,No,Overcut,30,Wet
17,15,Mixed,Rough,Low,Balanced,Two-stop,No,Overcut,53,Intermediate
21,19,Rainy,Rough,Medium,Balanced,Two-stop,Yes,Neutral,49,Wet
54,41,Rainy,Moderate,Low,Balanced,One-stop,Yes,Neutral,16,Wet
53,31,Sunny,Smooth,Medium,Balanced,Two-stop,Yes,Neutral,17,Medium
45,43,Cloudy,Rough,Low,Conservative,Three-stop,Yes,Undercut,25,Hard
1,23,Sunny,Rough,High,Aggressive,Three-stop,No,Neutral,69,Medium
11,16,Sunny,Rough,High,Balanced,Three-stop,No,Neutral,59,Medium
44,42,Sunny,Smooth,Low,Conservative,Three-stop,No,Neutral,26,Hard
66,20,Rainy,Moderate,High,Conservative,Three-stop,No,Overcut,4,Wet
14,40,Cloudy,Rough,Medium,Conservative,Three-stop,No,Neutral,56,Hard
54,30,Cloudy,Moderate,High,Aggressive,Two-stop,No,Undercut,16,Medium
51,22,Sunny,Rough,Medium,Conservative,One-stop,No,Overcut,19,Hard
63,29,Rainy,Rough,Low,Conservative,Three-stop,No,Undercut,7,Wet
47,44,Mixed,Moderate,Medium,Aggressive,Three-stop,Yes,Neutral,23,Intermediate
62,36,Rainy,Rough,Medium,Balanced,Three-stop,No,Overcut,8,Wet
3,34,Sunny,Rough,Low,Conservative,One-stop,No,Neutral,67,Medium
7,29,Sunny,Rough,Low,Balanced,One-stop,Yes,Neutral,63,Medium
18,13,Mixed,Rough,Low,Conservative,Two-stop,No,Undercut,52,Intermediate
4,33,Rainy,Smooth,Medium,Balanced,One-stop,Yes,Overcut,66,Wet
40,28,Rainy,Smooth,Medium,Aggressive,One-stop,No,Overcut,30,Wet
18,17,Sunny,Smooth,Low,Balanced,Two-stop,No,Overcut,52,Medium
42,21,Sunny,Moderate,Low,Aggressive,One-stop,No,Overcut,28,Medium
1,33,Cloudy,Smooth,Medium,Balanced,One-stop,Yes,Overcut,69,Medium
51,17,Cloudy,Rough,Low,Aggressive,Two-stop,Yes,Neutral,19,Medium
11,23,Mixed,Smooth,Medium,Balanced,Two-stop,No,Overcut,59,Intermediate
18,23,Rainy,Rough,Medium,Aggressive,One-stop,No,Undercut,52,Wet
37,44,Cloudy,Smooth,High,Aggressive,Three-stop,No,Undercut,33,Soft
44,19,Mixed,Smooth,High,Balanced,One-stop,No,Overcut,26,Intermediate
66,15,Mixed,Smooth,Medium,Conservative,Three-stop,Yes,Overcut,4,Intermediate
6,14,Rainy,Moderate,High,Balanced,Three-stop,Yes,Undercut,64,Wet
44,17,Rainy,Moderate,Medium,Balanced,One-stop,No,Overcut,26,Wet
34,16,Sunny,Smooth,Low,Aggressive,Three-stop,Yes,Overcut,36,Medium
37,42,Cloudy,Moderate,High,Conservative,One-stop,No,Overcut,33,Hard
51,23,Mixed,Smooth,Medium,Conservative,One-stop,Yes,Neutral,19,Intermediate
9,30,Sunny,Smooth,Low,Balanced,One-stop,Yes,Overcut,61,Medium
42,24,Mixed,Smooth,Medium,Conservative,Three-stop,Yes,Undercut,28,Intermediate
26,40,Mixed,Smooth,High,Balanced,Two-stop,Yes,Undercut,44,Intermediate
35,22,Sunny,Smooth,Low,Aggressive,One-stop,No,Neutral,35,Medium
15,11,Mixed,Moderate,High,Balanced,Two-stop,No,Overcut,55,Intermediate
32,14,Mixed,Moderate,High,Aggressive,Two-stop,No,Undercut,38,Intermediate
54,32,Mixed,Rough,Medium,Aggressive,Three-stop,Yes,Undercut,16,Intermediate
65,33,Mixed,Moderate,High,Balanced,Three-stop,No,Overcut,5,Intermediate
35,34,Rainy,Moderate,Medium,Aggressive,Three-stop,Yes,Undercut,35,Wet
48,26,Mixed,Rough,Medium,Balanced,Three-stop,No,Overcut,22,Intermediate
39,30,Sunny,Smooth,High,Balanced,Two-stop,No,Overcut,31,Medium
35,12,Mixed,Smooth,Medium,Aggressive,Three-stop,Yes,Undercut,35,Intermediate
44,14,Cloudy,Rough,Low,Balanced,One-stop,Yes,Undercut,26,Medium
12,35,Cloudy,Rough,Low,Conservative,One-stop,Yes,Overcut,58,Medium
53,27,Cloudy,Moderate,High,Balanced,Two-stop,No,Neutral,17,Medium
69,38,Cloudy,Smooth,High,Conservative,One-stop,No,Neutral,1,Soft
23,33,Mixed,Rough,High,Aggressive,Three-stop,No,Overcut,47,Intermediate
58,20,Cloudy,Moderate,High,Conservative,Three-stop,Yes,Undercut,12,Soft
47,15,Sunny,Smooth,High,Balanced,Two-stop,Yes,Overcut,23,Medium
11,38,Mixed,Moderate,Low,Balanced,Two-stop,No,Overcut,59,Intermediate
1,30,Rainy,Rough,Low,Aggressive,Two-stop,No,Undercut,69,Wet
49,31,Sunny,Moderate,Medium,Conservative,One-stop,Yes,Neutral,21,Medium
27,22,Cloudy,Smooth,High,Conservative,Two-stop,No,Neutral,43,Medium
60,26,Rainy,Rough,Low,Conservative,One-stop,No,Overcut,10,Wet
58,20,Mixed,Smooth,Medium,Balanced,Three-stop,No,Undercut,12,Intermediate
5,37,Mixed,Moderate,High,Aggressive,One-stop,No,Overcut,65,Intermediate
12,17,Mixed,Moderate,High,Aggressive,Two-stop,Yes,Neutral,58,Intermediate
67,11,Rainy,Rough,Medium,Balanced,One-stop,Yes,Overcut,3,Wet
56,10,Rainy,Smooth,Low,Aggressive,Three-stop,No,Undercut,14,Wet
13,31,Sunny,Smooth,Low,Conservative,Two-stop,Yes,Overcut,57,Medium
36,32,Rainy,Smooth,Medium,Balanced,One-stop,No,Overcut,34,Wet
51,18,Rainy,Smooth,High,Conservative,Two-stop,No,Overcut,19,Wet
6,25,Cloudy,Moderate,Low,Conservative,Two-stop,Yes,Undercut,64,Medium
31,13,Sunny,Rough,High,Aggressive,One-stop,Yes,Undercut,39,Hard
68,24,Sunny,Rough,Low,Aggressive,Three-stop,No,Overcut,2,Soft
33,32,Cloudy,Smooth,Medium,Conservative,One-stop,No,Overcut,37,Medium
57,12,Sunny,Smooth,Medium,Conservative,Three-stop,Yes,Undercut,13,Soft
21,41,Cloudy,Moderate,Low,Balanced,One-stop,Yes,Overcut,49,Hard
63,32,Sunny,Smooth,Low,Aggressive,Two-stop,No,Overcut,7,Soft
37,44,Mixed,Smooth,Low,Conservative,Two-stop,Yes,Overcut,33,Intermediate
18,43,Cloudy,Smooth,Low,Balanced,Two-stop,Yes,Overcut,52,Hard
38,27,Rainy,Smooth,Low,Aggressive,One-stop,Yes,Overcut,32,Wet
50,17,Cloudy,Moderate,Low,Balanced,Two-stop,No,Neutral,20,Medium
34,44,Rainy,Rough,Low,Conservative,Two-stop,No,Neutral,36,Wet
10,16,Cloudy,Rough,Medium,Conservative,Three-stop,No,Undercut,60,Medium
29,24,Rainy,Smooth,Low,Conservative,Two-stop,Yes,Undercut,41,Wet
56,37,Cloudy,Moderate,High,Conservative,One-stop,Yes,Overcut,14,Soft
32,34,Cloudy,Smooth,Medium,Balanced,Three-stop,Yes,Overcut,38,Medium
34,30,Mixed,Rough,Medium,Conservative,Two-stop,Yes,Undercut,36,Intermediate
5,38,Mixed,Moderate,Low,Balanced,Three-stop,Yes,Undercut,65,Intermediate
33,29,Sunny,Rough,Medium,Balanced,One-stop,Yes,Neutral,37,Medium
36,44,Rainy,Rough,Medium,Balanced,One-stop,Yes,Undercut,34,Wet
12,11,Sunny,Moderate,Low,Balanced,One-stop,No,Neutral,58,Medium
35,28,Mixed,Moderate,Medium,Aggressive,One-stop,Yes,Overcut,35,Intermediate
60,18,Mixed,Moderate,High,Aggressive,Two-stop,Yes,Neutral,10,Intermediate
22,16,Cloudy,Rough,Medium,Conservative,Two-stop,No,Undercut,48,Medium
5,34,Sunny,Rough,High,Aggressive,Three-stop,No,Neutral,65,Soft
53,25,Rainy,Moderate,Medium,Conservative,Two-stop,No,Undercut,17,Wet
32,36,Cloudy,Smooth,Low,Aggressive,Three-stop,No,Overcut,38,Soft
8,20,Cloudy,Moderate,Low,Balanced,One-stop,Yes,Undercut,62,Medium
31,38,Rainy,Smooth,High,Aggressive,Three-stop,No,Undercut,39,Wet
32,11,Sunny,Smooth,Low,Balanced,Two-stop,Yes,Overcut,38,Medium
32,37,Mixed,Smooth,Low,Aggressive,One-stop,No,Undercut,38,Intermediate
58,42,Cloudy,Moderate,Low,Conservative,Two-stop,No,Undercut,12,Soft
67,24,Rainy,Smooth,High,Conservative,One-stop,No,Overcut,3,Wet
9,37,Cloudy,Moderate,High,Aggressive,One-stop,No,Undercut,61,Medium
63,36,Mixed,Rough,Medium,Aggressive,One-stop,Yes,Undercut,7,Intermediate
51,23,Mixed,Rough,Medium,Balanced,One-stop,No,Undercut,19,Intermediate
27,24,Sunny,Moderate,Medium,Balanced,One-stop,No,Undercut,43,Medium
62,26,Sunny,Smooth,Medium,Balanced,Three-stop,Yes,Neutral,8,Soft
47,15,Rainy,Moderate,Low,Balanced,Two-stop,No,Undercut,23,Wet
60,23,Mixed,Rough,Low,Aggressive,Two-stop,No,Undercut,10,Intermediate
1,15,Cloudy,Smooth,Low,Aggressive,Three-stop,Yes,Undercut,69,Medium
10,38,Cloudy,Rough,Low,Conservative,Three-stop,No,Overcut,60,Hard
12,26,Mixed,Smooth,Medium,Balanced,Three-stop,No,Undercut,58,Intermediate
14,22,Cloudy,Rough,Medium,Conservative,Three-stop,Yes,Neutral,56,Medium
40,24,Sunny,Rough,Low,Conservative,One-stop,Yes,Overcut,30,Hard
25,23,Rainy,Smooth,High,Balanced,Three-stop,Yes,Undercut,45,Wet
46,27,Mixed,Moderate,High,Balanced,Two-stop,No,Neutral,24,Intermediate
45,18,Mixed,Smooth,Medium,Aggressive,Three-stop,Yes,Undercut,25,Intermediate
63,28,Cloudy,Moderate,Low,Conservative,One-stop,Yes,Neutral,7,Soft
42,23,Mixed,Rough,Medium,Aggressive,Three-stop,No,Undercut,28,Intermediate
67,29,Cloudy,Moderate,High,Balanced,Two-stop,Yes,Undercut,3,Soft
15,43,Cloudy,Moderate,Medium,Conservative,Three-stop,No,Neutral,55,Hard
51,35,Sunny,Moderate,High,Conservative,Three-stop,No,Neutral,19,Medium
25,22,Rainy,Moderate,High,Conservative,Three-stop,No,Undercut,45,Wet
69,44,Mixed,Moderate,Medium,Conservative,Two-stop,Yes,Undercut,1,Intermediate
59,18,Mixed,Moderate,Medium,Balanced,One-stop,No,Undercut,11,Intermediate
27,27,Rainy,Rough,High,Balanced,Three-stop,Yes,Overcut,43,Wet
